SKU,Color,Week_of_Year,Brand_Name,Units_Sold,Unit_Price,Web_SKU_Clicks,Web_SKU_Impressions,Item_Cost,Price_Band,Weeks_Since_Release,Stock
0D159AAFC1DF38GS,Red Gingham,36,ZALORA,4,44.9,300,4610,15.39,5,1,63
0D159AAFC1DF38GS,Red Gingham,37,ZALORA,8,34.9,740,12871,15.39,5,2,59
0D159AAFC1DF38GS,Red Gingham,38,ZALORA,12,34.9,462,3241,15.39,5,3,51
0D159AAFC1DF38GS,Red Gingham,39,ZALORA,NA,0,NA,NA,15.39,5,4,39
0D159AAFC1DF38GS,Red Gingham,40,ZALORA,NA,0,NA,NA,15.39,5,5,NA
0D159AAFC1DF38GS,Red Gingham,41,ZALORA,NA,0,NA,NA,15.39,5,6,NA
0D159AAFC1DF38GS,Red Gingham,42,ZALORA,NA,0,NA,NA,15.39,5,7,NA
0D159AAFC1DF38GS,Red Gingham,43,ZALORA,NA,0,NA,NA,15.39,5,8,NA
0D159AAFC1DF38GS,Red Gingham,44,ZALORA,NA,0,NA,NA,15.39,5,9,NA
0D159AAFC1DF38GS,Red Gingham,45,ZALORA,NA,0,NA,NA,15.39,5,10,NA
0D159AAFC1DF38GS,Red Gingham,46,ZALORA,NA,0,NA,NA,15.39,5,11,NA
0D159AAFC1DF38GS,Red Gingham,47,ZALORA,NA,0,NA,NA,15.39,5,12,NA
0D159AAFC1DF38GS,Red Gingham,48,ZALORA,NA,0,NA,NA,15.39,5,13,NA
0D159AAFC1DF38GS,Red Gingham,49,ZALORA,NA,0,NA,NA,15.39,5,14,NA
0D159AAFC1DF38GS,Red Gingham,50,ZALORA,NA,0,NA,NA,15.39,5,15,NA
0D159AAFC1DF38GS,Red Gingham,51,ZALORA,NA,0,NA,NA,15.39,5,16,NA
0D159AAFC1DF38GS,Red Gingham,52,ZALORA,NA,0,NA,NA,15.39,5,17,NA